publisher,count
Nhà Xuất Bản Thế Giới,498
Nhà Xuất Bản Dân Trí,482
Nhà Xuất Bản Giáo Dục Việt Nam,462
Nhiều Nhà Xuất Bản,422
Nhà Xuất Bản Trẻ,397
Nhà Xuất Bản Phụ Nữ Việt Nam,330
Unknown,302
Penguin Books,301
Nhà Xuất Bản Kim Đồng,278
Nhà Xuất Bản Hồng Đức,248
Nhà Xuất Bản Tổng Hợp TP.HCM,220
Nhà Xuất Bản Hà Nội,218
Nhà Xuất Bản Văn Học,208
HarperCollins,207
Nhà Xuất Bản Lao Động,183
Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,173
Cambridge University Press,166
Nhà Xuất Bản Thanh Niên,152
Nhà Xuất Bản Công Thương,147
Oxford University Press,144
Simon & Schuster,128
Nhà Xuất Bản Hội Nhà Văn,125
Hachette,103
Bloomsbury,102
Wordsworth Editions,98
Penguin Random House,95
Tuttle Publishing,94
Nhà Xuất Bản Đà Nẵng,66
Scholastic,61
Konemann,59
Independent Publishers Group,57
Nhà Xuất Bản Tri Thức,56
Macmillan,53
Nhà Xuất Bản Đại Học Sư Phạm,52
Thames & Hudson,49
Nhà Xuất Bản Thể Thao Và Du Lịch,48
Usborne Publishing,44
Công Ty TNHH Không Gian Sống Media,44
Báo Tuổi trẻ,44
Phương Nam Book,40
Vintage,40
Nikkei,38
Random House,37
William Collins,37
DK Publishing,36
E-Future,35
VanLangBooks,34
Saigon Times Group,34
Báo Sinh Viên Việt Nam - Hoa Học Trò,34
Nhà Xuất Bản Đại Học Sư Phạm TP.HCM,31
Grand Central Publishing,29
Shueisha,29
Nhà Xuất Bản Đại Học Huế,29
Nhà Xuất Bản Đồng Nai,29
ELI Publishing,28
Pan Macmillan,27
Kodansha,27
Flame Tree Publishing,27
Taschen,27
Nhà Xuất Bản Văn Hoá Thông Tin,26
Pearson,26
Harvard Business Review Press,25
Chiltern Publishing,25
Nhà Xuất Bản Kinh Tế - Tài Chính,24
Cengage Learning,24
Adams Media,24
Puffin Books,24
Macmillan Education,24
PublicAffairs,24
Portfolio,23
Vermilion,22
Nhà Xuất Bản Đại Học Quốc Gia TP.HCM,22
For Dummies,22
Công Ty TNHH Văn Hóa Việt Thư,21
Little Brown,21
"Little, Brown Book Group",21
Nhà Xuất Bản Lao Động Xã Hội,20
DK Children,20
Icon Books Ltd,20
"Little, Brown & Company",20
HarperBusiness,20
Nhà Xuất Bản Thông Tấn,19
Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,19
Nhà Xuất Bản Thể Dục Thể Thao,18
Piatkus,18
Welbeck Publishing Group,18
Nhà Xuất Bản Phương Đông,17
Harper,17
Nhà Xuất Bản Thông Tin Và Truyền Thông,17
Ebury Publishing,17
Atria Books,17
Wiley,17
Nhà Xuất Bản Văn Hóa - Văn Nghệ,16
Hinkler Books,16
North Parade Publishing,16
Hodder & Stoughton,16
Express Publishing,16
Nhà Xuất Bản Thanh Hoá,16
